page_size,mem_size,alg,file,page_faults,dirty_pages,elapsed_time
4,8192,FIFO,compressor.log,317,0,0.699083
4,16384,FIFO,compressor.log,317,0,0.699812
8,128,FIFO,compressor.log,3235,1127,0.148715
8,256,FIFO,compressor.log,1804,640,0.160419
8,512,FIFO,compressor.log,1030,386,0.205328
8,1024,FIFO,compressor.log,570,197,0.325451
8,2048,FIFO,compressor.log,255,0,0.590641
8,4096,FIFO,compressor.log,255,0,0.588673
8,8192,FIFO,compressor.log,255,0,0.588482
8,16384,FIFO,compressor.log,255,0,0.587460
16,128,FIFO,compressor.log,11214,2284,0.140128
16,256,FIFO,compressor.log,2862,1049,0.145330
16,512,FIFO,compressor.log,1495,570,0.162308
16,1024,FIFO,compressor.log,850,338,0.259280
16,2048,FIFO,compressor.log,430,142,0.359365
16,4096,FIFO,compressor.log,209,0,0.505629
16,8192,FIFO,compressor.log,209,0,0.506161
16,16384,FIFO,compressor.log,209,0,0.506259
32,128,FIFO,compressor.log,113347,41056,0.143401
32,256,FIFO,compressor.log,10640,2148,0.139812
32,512,FIFO,compressor.log,2234,796,0.144086
32,1024,FIFO,compressor.log,1119,441,0.161598
32,2048,FIFO,compressor.log,640,259,0.250075
32,4096,FIFO,compressor.log,308,101,0.225751
32,8192,FIFO,compressor.log,172,0,0.442745
32,16384,FIFO,compressor.log,172,0,0.441306
64,128,FIFO,compressor.log,216584,50592,0.143158
64,256,FIFO,compressor.log,104991,34603,0.144116
64,512,FIFO,compressor.log,10332,2062,0.139677
64,1024,FIFO,compressor.log,1956,736,0.145278
64,2048,FIFO,compressor.log,890,376,0.169194
64,4096,FIFO,compressor.log,444,187,0.187519
64,8192,FIFO,compressor.log,155,20,0.253857
64,16384,FIFO,compressor.log,137,0,0.331416
2,128,Random,compressor.log,2287,708,0.200876
2,256,Random,compressor.log,1504,491,0.282215
2,512,Random,compressor.log,844,232,0.482230
2,1024,Random,compressor.log,419,0,0.896039
2,2048,Random,compressor.log,419,0,0.900487
2,4096,Random,compressor.log,419,0,0.899019
2,8192,Random,compressor.log,419,0,0.896571
2,16384,Random,compressor.log,419,0,0.899721
4,128,Random,compressor.log,2768,923,0.179579
4,256,Random,compressor.log,1780,597,0.241456
4,512,Random,compressor.log,1057,345,0.199740
4,1024,Random,compressor.log,536,133,0.601244
4,2048,Random,compressor.log,317,0,0.701603
4,4096,Random,compressor.log,317,0,0.705629
4,8192,Random,compressor.log,317,0,0.707937
4,16384,Random,compressor.log,317,0,0.707511
8,128,Random,compressor.log,3752,1219,0.153571
8,256,Random,compressor.log,2204,731,0.181573
8,512,Random,compressor.log,1388,479,0.256134
8,1024,Random,compressor.log,719,235,0.234172
8,2048,Random,compressor.log,255,0,0.593694
8,4096,Random,compressor.log,255,0,0.591822
8,8192,Random,compressor.log,255,0,0.588753
8,16384,Random,compressor.log,255,0,0.590413
16,128,Random,compressor.log,9303,2258,0.154999
16,256,Random,compressor.log,3222,1039,0.152010
16,512,Random,compressor.log,1822,622,0.181396
16,1024,Random,compressor.log,1036,377,0.191335
16,2048,Random,compressor.log,488,167,0.231773
16,4096,Random,compressor.log,209,0,0.507357
16,8192,Random,compressor.log,209,0,0.506291
16,16384,Random,compressor.log,209,0,0.531315
32,128,Random,compressor.log,117845,36350,0.314995
32,256,Random,compressor.log,8550,1993,0.151609
32,512,Random,compressor.log,2590,870,0.149980
32,1024,Random,compressor.log,1410,498,0.173546
32,2048,Random,compressor.log,753,285,0.182062
32,4096,Random,compressor.log,307,93,0.220791
32,8192,Random,compressor.log,172,0,0.442160
32,16384,Random,compressor.log,172,0,0.443250
64,128,Random,compressor.log,225931,50108,0.472451
64,256,Random,compressor.log,108579,32643,0.302319
64,512,Random,compressor.log,8266,1878,0.151847
64,1024,Random,compressor.log,2334,827,0.148203
64,2048,Random,compressor.log,1056,400,0.183729
64,4096,Random,compressor.log,509,201,0.202068
64,8192,Random,compressor.log,154,16,0.258630
64,16384,Random,compressor.log,137,0,0.331824
2,128,LRU,matriz.log,36893,8637,0.230483
2,256,LRU,matriz.log,20441,5349,0.312709
2,512,LRU,matriz.log,10669,3285,0.424261
2,1024,LRU,matriz.log,6097,2033,0.478232
2,2048,LRU,matriz.log,4027,1351,0.545451
2,4096,LRU,matriz.log,3367,724,0.818602
2,8192,LRU,matriz.log,2994,0,1.034533
2,16384,LRU,matriz.log,2994,0,1.038886
4,128,LRU,matriz.log,81638,18176,0.184273
4,256,LRU,matriz.log,30422,7592,0.218558
4,512,LRU,matriz.log,17523,4944,0.298470
4,1024,LRU,matriz.log,8551,2859,0.403365
4,2048,LRU,matriz.log,4850,1662,0.382300
4,4096,LRU,matriz.log,3264,1048,0.524621
4,8192,LRU,matriz.log,2798,407,0.708590
4,16384,LRU,matriz.log,2543,0,0.928367
8,128,LRU,matriz.log,211346,47010,0.172309
8,256,LRU,matriz.log,77190,17375,0.185667
8,512,LRU,matriz.log,27104,6919,0.227954
8,1024,LRU,matriz.log,15410,4516,0.295936
8,2048,LRU,matriz.log,6672,2302,0.404464
8,4096,LRU,matriz.log,3840,1402,0.541494
8,8192,LRU,matriz.log,2778,885,0.477362
8,16384,LRU,matriz.log,2326,165,0.730511
16,128,LRU,matriz.log,324507,54843,0.164032
16,256,LRU,matriz.log,205727,46099,0.171038
16,512,LRU,matriz.log,70151,15982,0.182394
16,1024,LRU,matriz.log,22815,6120,0.218537
16,2048,LRU,matriz.log,12021,3824,0.293521
16,4096,LRU,matriz.log,4910,1827,0.389064
16,8192,LRU,matriz.log,3027,1141,0.357394
16,16384,LRU,matriz.log,2294,711,0.490071
32,128,LRU,matriz.log,403797,56910,0.159050
32,256,LRU,matriz.log,314398,54456,0.164068
32,512,LRU,matriz.log,188541,43099,0.169492
32,1024,LRU,matriz.log,59061,13547,0.179866
32,2048,LRU,matriz.log,19309,5295,0.219091
32,4096,LRU,matriz.log,9506,3150,0.303780
